Summary,Issue id,Status,Priority,Resolution,Created,Resolved,Affects Version/s,Description
Run CI for Ubuntu 18.04,13393001,Open,Critical,,02/Aug/21 06:11,,3.4.0,Need to run the CI for Ubuntu 18.04 since it's a supported platform. The CI will run on this platform only when there's C++ file/C++ build/platform related changes.
Run CI for Fedora 33,13393000,Open,Critical,,02/Aug/21 06:09,,3.4.0,Need to run the CI for Fedora 33 since it's a supported platform. The CI will run on this platform only when there's C++ file/C++ build/platform related changes.
Add s3a tool to convert S3 server logs to avro/csv files,13403878,In Progress,Major,,28/Sep/21 15:26,,3.3.2,"Add s3a tool to convert S3 server logs to avro/csv files

With S3A Auditing, we have code in hadoop-aws to parse s3 log entries, including splitting up the referrer into its fields.

But we don't have an easy way of using it. I've done some early work in spark but as well as that code not working ([https://github.com/hortonworks-spark/cloud-integration/blob/master/spark-cloud-integration/src/main/scala/com/cloudera/spark/cloud/s3/S3LogRecordParser.scala]), it doesn't do the audit splitting.


 And, given that the S3 audit logs can be small on a lightly loaded store, not always justified.

Proposed

we add
 # utility parser class to take a row and split it into a record
 # which can be saved to avro through a schema we define
 # or exported to CSV with/without headers. (with: easy to understand, without: can cat files)
 # add a mapper so this can be used in MR jobs (could even make it committer test ..)
 # and a ""hadoop s3guard/hadoop s3"" entry point so you can do it on the cli

{code:java}
hadoop s3 parselogs -format avro -out s3a://dest/path -recursive s3a://stevel-london/logs/bucket1/*
{code}
would take all files under the path, load, parse and emit the output.

design issues
 * would you combine all files, or emit a new .avro or .csv file for each one?
 * what's a good avro schema to cope with new context attributes
 * CSV nuances: tabs vs spaces, use opencsv or implement the (escaping?) writer ourselves.
 me: TSV and do a minimal escaping and quoting emitter. Can use opencsv in the test suite.
 * would you want an initial filter during processing? especially for exit codes?
 me: no, though I could see the benefit for 503s. Best to let you load it into a notebook or spreadsheet and go from there."
S3A DeleteOperation to parallelize POSTing of bulk deletes,13398683,Open,Major,,01/Sep/21 13:38,,3.4.0,"Once the need to update the DDB tables is removed, we can't go from a single POSTed delete at a time to posting a large set of bulk delete operations in parallel.

The current design is to support incremental update of S3Guard tables, including handling partial failures. Not a problem anymore.

This will significantly improve delete() performance on directory trees with many many children/descendants, as it goes from a sequence of children/1000 POSTs to parallel writes. As each file deleted is still throttled, we will be limited to 3500 deletes/second with throttling, so throwing a large pool of workers at the problem would be counter-productive and potentially cause problems for other applications trying to write down the same directory tree. But we can do better than one-POST at a time.

Proposed
* if parallel delete is off: no limit
* parallel delete is on, limit #of parallel to 3000/page-size: you'll never have more updates pending than the write limit of a single shard."
S3A: Allow SSE configurations per object path,13396008,Open,Major,,19/Aug/21 02:04,,3.3.1,"Currently, we can map the SSE configurations at bucket level only:
{code:java}
<property>
  <name>fs.s3a.bucket.ireland-dev.server-side-encryption-algorithm</name>
  <value>SSE-KMS</value>
</property>

<property>
  <name>fs.s3a.bucket.ireland-dev.server-side-encryption.key</name>
  <value>arn:aws:kms:eu-west-1:98067faff834c:key/071a86ff-8881-4ba0-9230-95af6d01ca01</value>
</property>
{code}
But sometimes we want to encrypt data in different paths with different keys within the same bucket. For example, a partitioned table might benefit from encrypting each partition with a different key when the partition represents a customer or a country.

[S3 already can encrypt using different keys/configurations at the object level|https://aws.amazon.com/premiumsupport/knowledge-center/s3-encrypt-specific-folder/], so what we need to do on Hadoop is to provide a way to map which key to use. One idea could be mapping them in the XML config:

 
{code:java}
<property>
  <name>fs.s3a.server-side-encryption.paths</name>
  <value>s3://bucket/my_table/country=ireland,s3://bucket/my_table/country=uk, s3://bucket/my_table/country=germany</value>
</property>

<property>
  <name>fs.s3a.server-side-encryption.path-keys</name>
  <value>arn:aws:kms:eu-west-1:90ireland09:key/ireland-key,arn:aws:kms:eu-west-1:980uk0993c:key/uk-key,arn:aws:kms:eu-west-1:98germany089:key/germany-key</value>
</property>
{code}
Or potentially fetch the mappings from the filesystem:

 
{code:java}
<property>
  <name>fs.s3a.server-side-encryption.mappings</name>
  <value>s3://bucket/configs/encryption_mappings.json</value>
</property> {code}
where encryption_mappings.json could be something like this:

 
{code:java}
{ 
   ""path"": ""s3://bucket/customer_table/customerId=abc123"", 
   ""algorithm"": ""SSE-KMS"",
   ""key"": ""arn:aws:kms:eu-west-1:933993746:key/abc123-key""
}
...
{ 
   ""path"": ""s3://bucket/customer_table/customerId=xyx987"", 
   ""algorithm"": ""SSE-KMS"",
   ""key"": ""arn:aws:kms:eu-west-1:933993746:key/xyx987-key""
}
{code}
 

 "
RawLocalFileSystem cannot mkdir/chmod paths with emojis. ☹️,13399600,Open,Major,,06/Sep/21 14:48,,3.3.1,"*Bug description:*

`fs.mkdirs` command for `RawLocalFileSystem` doesn't work in Hadoop 3 with NativeIO enabled.

The failure was happening when doing the native `chmod` command to the file (the `mkdir` command itself is working).

Stacktrace:

{{ENOENT: No such file or directory  ENOENT: No such file or directory at org.apache.hadoop.io.nativeio.NativeIO$POSIX.chmodImpl(Native Method) at org.apache.hadoop.io.nativeio.NativeIO$POSIX.chmod(NativeIO.java:382) at org.apache.hadoop.fs.RawLocalFileSystem.setPermission(RawLocalFileSystem.java:974) at org.apache.hadoop.fs.RawLocalFileSystem.mkOneDirWithMode(RawLocalFileSystem.java:660) at org.apache.hadoop.fs.RawLocalFileSystem.mkdirsWithOptionalPermission(RawLocalFileSystem.java:700) at org.apache.hadoop.fs.RawLocalFileSystem.mkdirs(RawLocalFileSystem.java:672)}}

 

*To reproduce:*
 * Add `fs.mkdirs` in RawLocalFileSystem with NativeIO enabled.
 * Sample: [https://github.com/apache/hadoop/pull/3391]"
ABFS: Transient failure of TestAbfsClientThrottlingAnalyzer.testManySuccessAndErrorsAndWaiting,13392896,Open,Major,,01/Aug/21 01:44,,3.4.0,"Transient failure of the below test observed for HNS OAuth, AppendBlob HNS OAuth and Non-HNS SharedKey combinations. The value denoted by ""actual value"" below varies across failures, and exceeds the upper limit of the expected range.

_TestAbfsClientThrottlingAnalyzer.testManySuccessAndErrorsAndWaiting:171->fuzzyValidate:49 The actual value 10 is not within the expected range: [5.60, 8.40]._

Verified failure with client and server in the same region to rule out network issues."
ABFS: Fix transient failures in ITestAbfsStreamStatistics and ITestAbfsRestOperationException,13397564,Reopened,Major,,26/Aug/21 13:11,,3.3.1,"To address transient failures in the following test classes:
 * ITestAbfsStreamStatistics: Uses a filesystem level instance to record read/write statistics, which also tracks these operations in other tests. running parallelly. To be marked for sequential run only to avoid transient failure
 * ITestAbfsRestOperationException: The use of a static member to track retry count causes transient failures when two tests of this class happen to run together. Switch to non-static variable for assertions on retry count"
ABFS: Refactor read flow to include ReadRequestParameter,13397530,Open,Major,,26/Aug/21 11:23,,3.4.0,"This Jira is to facilitate upcoming work as part of adding an alternate connection :
 HADOOP-17853 ABFS: Enable optional store connectivity over azure specific protocol for data egress - ASF JIRA (apache.org)

The scope of the change is to introduce a ReadRequestParameter that will include the various inputs needed for the read request to AbfsClient class."
ABFS: Enable optional store connectivity over azure specific protocol for data egress,13395708,Open,Major,,17/Aug/21 15:25,,3.4.0,This Jira is to provide an option to enable store access on read path over an Azure specific protocol. This will only work on Azure VMs and hence will be disabled by default.
ABFS: Fork AbfsHttpOperation to add alternate connection,13397162,Open,Major,,25/Aug/21 12:03,,3.4.0,"This Jira is to facilitate upcoming work as part of adding an alternate connection :
[HADOOP-17853] ABFS: Enable optional store connectivity over azure specific protocol for data egress - ASF JIRA (apache.org)



The scope of the change is to make AbfsHttpOperation as abstract class and create a child class AbfsHttpConnection. Future connection types will be added as child of AbfsHttpOperation."
ABFS: Refactor HTTP request handling code,13399255,Open,Major,,03/Sep/21 13:36,,3.4.0,Aims at Http request handling code refactoring.
WASB: Fix Compiler Warnings,13397424,Open,Major,,26/Aug/21 06:18,,3.3.1,"To track a list of WASB compiler warnings, which are also intermittently affecting yetus runs on ABFS driver PRs.
 # hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/PageBlobOutputStream.java:210:29:[deprecation] HFLUSH in StreamCapabilities has been deprecated"
ABFS: Modifications to TracingContext,13387754,Open,Major,,05/Jul/21 15:23,,3.3.1,"TracingContext introduced in the PR  [HADOOP-17290|https://github.com/apache/hadoop/pull/2520] tracks a request with identifiers as it passes through ABFS layers. Creating this Jira to track suggested modifications and improvements to the tracing structure.
 * rename Listener; remove it from TracingContext constructor, confine to setter
 * make fields (identifiers) immutable; eliminate retry count field => reduce instance cloning
 * introduce child classes of TracingContext to handle stream/continuation ops"
Bump aliyun-sdk-oss to 3.13.0,13393311,Resolved,Major,Fixed,03/Aug/21 18:10,14/Aug/21 12:20,3.2.3,"Bump aliyun-sdk-oss to 3.13.0 in order to remove transitive dependency on jdom 1.1.

Ref: https://issues.apache.org/jira/browse/HADOOP-17820?focusedCommentId=17390206&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-17390206."
implement non-guava Precondition checkState,13402753,Resolved,Major,Fixed,22/Sep/21 17:52,07/Oct/21 02:11,3.2.3,"As part In order to replace Guava Preconditions, we need to implement our own versions of the API.
 This Jira is to add the implementation {{checkState}} to the existing class {{org.apache.hadoop.util.Preconditions}}

+The plan is as follows+
 * implement {{org.apache.hadoop.util.Preconditions.checkState}} with the minimum set of interface used in the current hadoop repo.
 * we can replace {{guava.Preconditions}} by {{org.apache.hadoop.util.Preconditions}} once all the interfaces have been implemented (both this jira and HADOOP-17929 are complete).
 * We need the change to be easily to be backported in 3.x.

previous jiras:
 * HADOOP-17126 was created to implement CheckNotNull.
 * HADOOP-17929 implementing checkArgument.

CC: [~stevel@apache.org], [~vjasani]"
implement non-guava Precondition checkArgument,13402746,Resolved,Major,Fixed,22/Sep/21 17:49,01/Oct/21 07:17,3.2.3,"As part In order to replace Guava Preconditions, we need to implement our own versions of the API.
 This Jira is to add the implementation {{checkArgument}} to the existing class {{org.apache.hadoop.util.Preconditions}}

+The plan is as follows+
 * implement {{org.apache.hadoop.util.Preconditions.checkArgument}} with the minimum set of interface used in the current hadoop repo.
 * we can replace {{guava.Preconditions}} by {{org.apache.hadoop.util.Preconditions}} once all the interfaces have been implemented.
 * We need the change to be easily to be backported in 3.x.

A previous jira HADOOP-17126 was created to replace CheckNotNull. HADOOP-17930 is created to implement checkState.

CC: [~stevel@apache.org], [~vjasani]"
[JDK 17] TestNetUtils fails,13401290,Resolved,Major,Fixed,15/Sep/21 08:34,27/Sep/21 01:13,3.4.0,"TestNetUtils#testInvalidAddress fails.
{noformat}
[INFO] Running org.apache.hadoop.net.TestNetUtils
[ERROR] Tests run: 48, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 4.469 s <<< FAILURE! - in org.apache.hadoop.net.TestNetUtils
[ERROR] testInvalidAddress(org.apache.hadoop.net.TestNetUtils)  Time elapsed: 0.386 s  <<< FAILURE!
java.lang.AssertionError: 
 Expected to find 'invalid-test-host:0' but got unexpected exception: java.net.UnknownHostException: invalid-test-host/<unresolved>:0
	at org.apache.hadoop.net.NetUtils.connect(NetUtils.java:592)
	at org.apache.hadoop.net.NetUtils.connect(NetUtils.java:551)
	at org.apache.hadoop.net.TestNetUtils.testInvalidAddress(TestNetUtils.java:109)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26)
	at org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306)
	at org.junit.runners.BlockJUnit4ClassRunner$1.evaluate(BlockJUnit4ClassRunner.java:100)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:366)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:103)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:63)
	at org.junit.runners.ParentRunner$4.run(ParentRunner.java:331)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:79)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:329)
	at org.junit.runners.ParentRunner.access$100(ParentRunner.java:66)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:293)
	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26)
	at org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:413)
	at org.apache.maven.surefire.junit4.JUnit4Provider.execute(JUnit4Provider.java:365)
	at org.apache.maven.surefire.junit4.JUnit4Provider.executeWithRerun(JUnit4Provider.java:273)
	at org.apache.maven.surefire.junit4.JUnit4Provider.executeTestSet(JUnit4Provider.java:238)
	at org.apache.maven.surefire.junit4.JUnit4Provider.invoke(JUnit4Provider.java:159)
	at org.apache.maven.surefire.booter.ForkedBooter.invokeProviderInSameClassLoader(ForkedBooter.java:384)
	at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:345)
	at org.apache.maven.surefire.booter.ForkedBooter.execute(ForkedBooter.java:126)
	at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:418)

	at org.apache.hadoop.test.GenericTestUtils.assertExceptionContains(GenericTestUtils.java:396)
	at org.apache.hadoop.test.GenericTestUtils.assertExceptionContains(GenericTestUtils.java:373)
	at org.apache.hadoop.net.TestNetUtils.testInvalidAddress(TestNetUtils.java:116)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26)
	at org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306)
	at org.junit.runners.BlockJUnit4ClassRunner$1.evaluate(BlockJUnit4ClassRunner.java:100)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:366)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:103)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:63)
	at org.junit.runners.ParentRunner$4.run(ParentRunner.java:331)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:79)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:329)
	at org.junit.runners.ParentRunner.access$100(ParentRunner.java:66)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:293)
	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26)
	at org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:413)
	at org.apache.maven.surefire.junit4.JUnit4Provider.execute(JUnit4Provider.java:365)
	at org.apache.maven.surefire.junit4.JUnit4Provider.executeWithRerun(JUnit4Provider.java:273)
	at org.apache.maven.surefire.junit4.JUnit4Provider.executeTestSet(JUnit4Provider.java:238)
	at org.apache.maven.surefire.junit4.JUnit4Provider.invoke(JUnit4Provider.java:159)
	at org.apache.maven.surefire.booter.ForkedBooter.invokeProviderInSameClassLoader(ForkedBooter.java:384)
	at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:345)
	at org.apache.maven.surefire.booter.ForkedBooter.execute(ForkedBooter.java:126)
	at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:418)
Caused by: java.net.UnknownHostException: invalid-test-host/<unresolved>:0
	at org.apache.hadoop.net.NetUtils.connect(NetUtils.java:592)
	at org.apache.hadoop.net.NetUtils.connect(NetUtils.java:551)
	at org.apache.hadoop.net.TestNetUtils.testInvalidAddress(TestNetUtils.java:109)
	... 30 more
{noformat}"
Provide fallbacks for identity/cost providers and backoff enable,13391688,Resolved,Major,Fixed,24/Jul/21 18:54,28/Jul/21 17:11,3.4.0,"This sub-task is to provide default properties for identity-provider.impl, cost-provider.impl and backoff.enable such that if properties with port is not configured, we can fallback to default property (port-less)."
TestLocalFSCopyFromLocal.testDestinationFileIsToParentDirectory failure after reverting HADOOP-16878,13403037,Resolved,Major,Fixed,24/Sep/21 03:00,28/Sep/21 16:49,3.3.2,"After reverting HADOOP-16878 from branch-3.3, test {{TestLocalFSCopyFromLocal.testDestinationFileIsToParentDirectory}} started to fail because it expects an exception but the copying succeeded."
Add more test for the BuiltInGzipCompressor,13397449,Resolved,Major,Fixed,26/Aug/21 07:40,22/Sep/21 15:00,3.4.0,We added BuiltInGzipCompressor recently. It is better to add more compatibility tests for the compressor.
