labels,created_at,body,number,state_reason,title,state,translation,src_lang,gpt_translation,gpt_src_lang,deepL_translation,deepL_src_lang,aws_translation,aws_src_lang
info-needed:*english-please:translation-required-indonesian,2024-05-21T04:40:20Z,"Type: <b>Bug</b>

extexionnya tidak bisa intall langsung, harus download di broser barau dipanggil dan di relload

",213120,not_planned,Permasalahan BUG Terdapat di extesionnya,closed,"Type: <b>Bug</b> extension cannot be installed directly, must be downloaded in the browser then called and reloaded

",id,"The BUG problem is in the extension. Type: Bug the extension cannot be installed directly, it must be downloaded in the browser, then called and reloaded.",id,"The BUG problem is in the extension type: <b>Bug</b> The extexion cannot be installed directly, it must be downloaded in the browser and reloaded.",ID,The BUG problem is in the extension Type: The <b>bug</b> extexion cannot intall directly must be downloaded in the broser just called and relloaded,id
info-needed:*english-please:translation-required-portuguese-brazil,2024-05-18T16:43:41Z,"**Salvee** galera penso que se em vez de ter que ficar informando o copilot o que fazer.. ele pudesse observar e acompanhar e interagir com base em alguns default.. o que estaria sendo visualizado pelo usuário, seria mais dinâmica a inteiração entre o assistente e o usuário, numa dessa uma tecla de interação rápida com a IA..

",213013,not_planned,"GitHub Copilot - Sugestão de funcionalidade - Assistente de IA, com capacidade de observar diretamente os arquivos abertos no seu Visual Studio Code e gerar interação direta.",closed,"**Hi guys** I think that if instead of having to keep telling the copilot what to do... he could observe and monitor and interact based on some defaults... what would be seen by the user, the interaction between the assistant and the user would be more dynamic, in one of these a quick interaction key with the AI.

",pt,"GitHub Copilot - Feature suggestion - AI assistant with the ability to directly observe the files open in your Visual Studio Code and generate direct interaction. **Hello** folks, I think that instead of having to keep telling Copilot what to do, it could observe, follow, and interact based on some defaults. What the user is viewing would make the interaction between the assistant and the user more dynamic, perhaps with a quick interaction key with the AI...",pt,"GitHub Copilot - Feature suggestion - AI assistant, with the ability to directly observe open files in your Visual Studio Code and generate direct interaction. **Salvee** guys I think that if instead of having to keep telling the copilot what to do... it could observe and follow and interact based on some default... what would be being visualized by the user would be more dynamic the interaction between the assistant and the user in one of this a quick interaction key with the AI....",PT,"GitHub Copilot - Suggestion of functionality - AI assistant, with the ability to directly observe the files opened in your Visual Studio Code and generate direct interaction. **Save** guys I think that if instead of having to keep informing the copilot what to do... he could observe and follow and interact based on some default... what was being viewed by the user, the interaction between the assistant and the user on one of those quick interaction keys with the AI would be more dynamic.",pt
info-needed:*english-please:translation-required-chinese-simplified:triage-needed,2024-05-14T10:58:45Z,"Type: <b>Bug</b>

右侧滑动条鼠标经常无法拖动，必须要按住ctrl再点鼠标才可以拖动，拖动完后，松开ctrl后，鼠标可以拖动，过一段时间又无法拖动 

",212687,not_planned,右侧滑动条鼠标经常无法拖动，有时候按住ctrl可以拖动，,closed,"Type: <b>Bug</b> The mouse often cannot be dragged on the right side of the slider. You must hold down ctrl and click the mouse to drag it. After dragging, release ctrl and the mouse can be dragged, but it cannot be dragged again after a while. 

",zh-CN,"The right-side scrollbar often cannot be dragged with the mouse. Sometimes you can drag it by holding down the CTRL key. Type: Bug. The right-side scrollbar often cannot be dragged with the mouse; you have to hold down the CTRL key and click the mouse to drag it. After dragging and releasing the CTRL key, the mouse can drag it, but after a while the issue repeats.",zh,"The right slider often can not drag the mouse, sometimes hold down the ctrl can drag, Type: <b>Bug</b>The right slider often can not drag the mouse, you must hold down the ctrl and then click the mouse to drag, after dragging, release the ctrl, the mouse can be dragged, and then can not drag after a period of time.",ZH,"<b>The mouse on the right slider often can't be dragged. Sometimes you can drag while holding down Ctrl. Type: Bug The mouse on the right slider often can't be dragged. You have to hold down Ctrl and then click the mouse to drag. After dragging, after releasing Ctrl, the mouse can be dragged, and after a period of time you can't drag</b> ",zh
info-needed:*caused-by-extension:*english-please:translation-required-chinese-simplified,2024-05-12T17:15:02Z,,212556,not_planned,自动补全功能提示不完美,closed,,zh-CN,The auto-complete feature prompt is not perfect.,zh,Imperfect auto-completion feature prompts,ZH,The autocomplete feature prompts are not perfect ,zh
info-needed:*english-please:translation-required-russian,2024-05-11T21:23:19Z,"Today, vscode, stopped displaying graphic elements of projects. Both background images and direct images (background-image and img). What happened, before yesterday, everything was displayed well. suddenly it stopped. this is some kind of update or some settings have gone wrong. help me to sort out this problem pls.

Type: <b>Bug</b>

Сегодня перестал отображать графические элементы проектов. Как фоновые картинки так и прямые изображения (background-image & img). что случилось, до вчерашнего дня",212521,not_planned,Перестал отображать графические изображения,closed,"Today, vscode, stopped displaying graphic elements of projects. Both background images and direct images (background-image and img). What happened, before yesterday, everything was displayed well. suddenly it stopped. this is some kind of update or some settings have gone wrong. help me to sort out this problem pls. Type: <b>Bug</b> Today, vscode stopped displaying graphic elements of projects. Both background images and direct images (background-image &amp; img). what happened, before yesterday",ru,Stopped displaying graphic images. Today vscode stopped displaying graphic elements of projects. Both background images and direct images (background-image and img). What happened before yesterday everything was displayed well. Suddenly it stopped. This is some kind of update or some settings have gone wrong. Help me to sort out this problem please. Type: <b>Bug</b> Today stopped displaying graphic elements of projects. Both background images and direct images (background-image & img). What happened before yesterday.,ru,Today vscode stopped displaying graphic elements of projects. Both background images and direct images (background-image and img). What happened before yesterday everything was displayed well. Suddenly it stopped. this is some kind of update or some settings have gone wrong. help me to sort out this problem pls.Type: <b>Bug</b> Today vscode stopped displaying graphic elements of projects. Both background images and direct images (background-image & img). what happened before yesterday.,RU,Today vscode stopped displaying graphic elements of projects. Both background images and direct images (background image and img). <b>What happened before yesterday everything was displayed well. suddenly it stopped. this is some kind of update or some settings have gone wrong. help me to sort out this problem PLS.type: Bug Today I stopped displaying project graphic elements.</b> Both background images and direct images (background image & img). What happened until yesterday,ru
info-needed:*english-please:translation-required-chinese-simplified:triage-needed,2024-05-08T02:10:06Z,"
Type: <b>Bug</b>

1.更新vscode到最新版本
2.打开vscode资源管理器
3.执行Ctrl+F,没有效果

",212223,not_planned,资源管理器搜索文件名的快捷键Ctrl+F失效,closed,"
Type: <b>Bug</b> 1. Update vscode to the latest version 2. Open vscode Explorer 3. Execute Ctrl+F, no effect

",zh-CN,The shortcut Ctrl+F for searching file names in the Explorer is not working. Type: <b>Bug</b> 1. Update vscode to the latest version 2. Open vscode Explorer 3. Execute Ctrl+F and there is no effect.,zh,Explorer shortcut Ctrl+F for searching filename not working Type: <b>Bug</b> 1.Update vscode to latest version 2.Open vscode explorer 3.Execute Ctrl+F No effect,ZH,<b>Resource Manager search file name shortcut Ctrl+F doesn't work Type: Bug 1. Update VSCode to the latest version 2. Open VSCode Resource Manager 3. Execute Ctrl+f has no effect</b>,zh
info-needed:*english-please:translation-required-spanish,2024-05-07T19:43:40Z,"Type: <b>Bug</b>

Buenas tardes estoy presentando el problema que al querer instalar cualquier extension me dice vscode que no puede que l o haga manualmente y lo hago(pese a no ser normal)  tambien que al usar la extension rest client no me carga ninguna solicitud, me manda a url invalida. e igual al tratar de conectar con mi cuenta githbu no funciona.. es como que estuviera bloqueado vs de alguna manera y ya lo he elimiando y vuelto instalar pero nada.. solicito su ayuda por favor. mi correo m",212201,not_planned,Problemas con Vscode y sus extensiones,closed,"Type: <b>Bug</b> Good afternoon, I am experiencing the problem that when I want to install any extension, vscode tells me that it cannot do it manually and I do it (despite not being normal) also that when using the rest client extension it does not load any request, it sends me to an invalid url. and the same when trying to connect with my githbu account it does not work.. it is as if vs was blocked in some way and I have already deleted it and reinstalled it but nothing.. I request your help please. my email m",es,"Problems with Vscode and its extensions. Type: <b>Bug</b>Good afternoon, I am experiencing the problem that when I try to install any extension, Vscode tells me that it cannot be done and to do it manually, which I do (despite it not being normal). Also, when using the rest client extension, it doesn't load any requests and sends me to an invalid URL. Similarly, when trying to connect with my GitHub account, it does not work. It's as if Vscode is somehow blocked, and I have already uninstalled and reinstalled it, but nothing changes. I request your help, please. My email is m.",es,Problems with Vscode and its extensions Type: <b>Bug</b>Good afternoon I am having the problem that when I want to install any extension vscode tells me that I can not do it manually and I do (despite not being normal) also when using the rest client extension does not load any request sends me to invalid url. and the same when trying to connect to my githbu account does not work.. it is like it was blocked vs somehow and I have already removed it and reinstalled but nothing... I request your help please. my email address is m,ES,Problems with Vscode and its extensions Type: <b>Bug</b> Good afternoon I'm having the problem that when I want to install any extension it tells me that I can't do it manually and I do it (although it's not normal) also that when using the rest client extension it doesn't load any request it sends me to an invalid url. and maybe when I try to connect to my Githbu account it doesn't work.. it's like it's blocked you somehow and I've already deleted it and reinstalled it but nothing.. I ask for your help please. my email m,es
info-needed:*english-please:translation-required-chinese-simplified:triage-needed,2024-05-07T09:57:32Z,"在windows任务栏中右键vscode菜单，以前最近项目中会显示最近打开的文件夹，但是现在只会显示单文件，如下图
![Snipaste_2024-05-07_17-57-09](https://github.com/microsoft/vscode/assets/23715456/85d3b07f-fb4f-4540-b51c-c64c8813dd9d)
",212159,not_planned,任务栏打开最近项目,closed,"Right-click the vscode menu in the Windows taskbar. Previously, the recently opened folders would be displayed in the recent project, but now only a single file will be displayed, as shown below! [Snipaste_2024-05-07_17-57-09](https://github.com/microsoft/vscode/assets/23715456/85d3b07f-fb4f-4540-b51c-c64c8813dd9d)
",zh-CN,"Taskbar opens recent items. In the Windows taskbar, right-click the VSCode menu. Previously, the recent items would display the recently opened folders, but now it only shows individual files, as shown in the picture.",zh-CN,"Taskbar open recent items Right click vscode menu in windows taskbar, previously recent items would show recently opened folders, but now it will only show single files as below! [Snipaste_2024-05-07_17-57-09](https://github.com/microsoft/vscode/assets/23715456/85d3b07f-fb4f-4540-b51c-c64c8813dd9d)",ZH,"Open recent projects in the taskbar Right click on the vscode menu in the Windows taskbar. Previously, recent projects would show recently opened folders, but now only a single file will be displayed, as shown below! [Snipaste_2024-05-07_17-57-09] (https://github.com/microsoft/vscode/assets/23715456/85d3b07f-fb4f-4540-b51c-c64c8813dd9d)",zh
info-needed:*english-please:translation-required-portuguese-brazil,2024-05-07T01:56:55Z,"Type: <b>Performance Issue</b>

C:\Users\User\Desktop\curso python com Lira>pip install pyautogui
'pip' não é reconhecido como um comando interno
ou externo, um programa operável ou um arquivo em lotes.

",212141,not_planned,nao consigo instalar nada no command prompt,closed,"Type: <b>Performance Issue</b> C:\Users\User\Desktop\curso python com Lira&gt;pip install pyautogui &#39;pip&#39; is not recognized as an internal or external command, operable program or batch file.

",pt,"I can't install anything in the command prompt. Type: <b>Performance Issue</b>C:\Users\User\Desktop\curso python com Lira>pip install pyautogui 'pip' is not recognized as an internal or external command, operable program, or batch file.",pt,"I can't install anything at the command prompt Type: <b>Performance Issue</b>C:\Users\User\Desktop\course python with Lira>pip install pyautogui'pip' is not recognized as an internal or external command, an operable program or a batch file.",PT,I can't install anything at the Command Prompt Type: <b>Performance Issue</b> C:\Users\User\Desktop\curso python with LIRA>pip install pyautogui'pip' is not recognized as an internal or external command an operable program or a batch file.,pt
info-needed:*english-please:translation-required-japanese,2024-05-04T06:53:51Z,"
Type: <b>Bug</b>

launch.jsonに、下記のような複数NODE_ENVを構成している場合は、メニュー：実行>デバッグの開始を選択したときに、productionとdevelopmentのドロップダウンは表示されないため、切り替えできません。原因と対応方法を教えていただけますと幸いです。
{
    // IntelliSense を使用して利用可能な属性を学べます。
    // 既存の属性の説明をホバーして表示します。
    // 詳細情報は次を確認してください: https://go.microsoft.com/fwlink/?linkid=830387
    ""version"": ""0.2.0"",
    ""configurations"": [
       {
            ""type"": ""node"",
            ""request"": ""launch"",
            ""name"": ""debug production"",
            ""program"": ""${workspaceFolder}\\p",212010,not_planned,node.jsのアプリケーションのデバッグで複数NODE_ENV設定の構成は切り替えできない,closed,"
Type: <b>Bug</b> If you have multiple NODE_ENVs configured in launch.json like the one below, when you select Menu: Run &gt; Start Debugging, the production and development dropdowns are not displayed, so you cannot switch between them. Please let me know the cause and how to resolve it. { // Use IntelliSense to learn the available attributes. // Hover over existing attributes to see their descriptions. // For more information, see: https://go.microsoft.com/fwlink/?linkid=830387 &quot;version&quot;: &quot;0.2.0&quot;, &quot;configurations&quot;: [ { &quot;type&quot;: &quot;node&quot;, &quot;request&quot;: &quot;launch&quot;, &quot;name&quot;: &quot;debug production&quot;, &quot;program&quot;: &quot;${workspaceFolder}\\p",ja,"In debugging a Node.js application, switching between multiple NODE_ENV configurations is not possible. Type: <b>Bug</b> If you have configured multiple NODE_ENVs in launch.json as shown below, the production and development dropdown will not appear when you select the menu: Run > Start Debugging, so you cannot switch. I would appreciate it if you could let me know the cause and how to address it. { // You can use IntelliSense to learn about available attributes. // Hover over existing attributes to see a description. // For more information, see: https://go.microsoft.com/fwlink/?linkid=830387 ""version"": ""0.2.0"" ""configurations"": [ { ""type"": ""node"" ""request"": ""launch"" ""name"": ""debug production"" ""program"": ""${workspaceFolder}\p.",ja,"Cannot switch the configuration of multiple NODE_ENV settings in debugging node.js applications Type: <b>Bug</b>launch.json when selecting Menu: Run>Start Debugging if you have configured multiple NODE_ENVs as shown below, production and development drop-downs do not appear and I cannot switch between them. We would appreciate it if you could tell us the cause and how to address this issue. { // You can use IntelliSense to learn about available attributes.    // Hover over the description of an existing attribute.    // For more information check: https://go.microsoft.com/fwlink/?linkid=830387 ""version"": ""0.2.0"" ""configurations"": [ { ""type"": ""node"" ""request"": ""launch "" ""name"": ""debug production"" ""program"": ""${workspaceFolder}\\p",JA,"<b>The configuration of multiple NODE_ENV settings cannot be switched when debugging a Node.js application If multiple NODE_ENV as shown below are configured in Type: Bug launch.json, the production and development dropdowns are not displayed when selecting Menu: Run > Start Debugging, so you cannot switch.</b> I would appreciate it if you could tell me the cause and how to deal with it. {//Use IntelliSense to learn what attributes are available. //Hover over existing attribute descriptions to view them. //For more information, check: https://go.microsoft.com/fwlink/?linkid=830387 “version”: “0.2.0"" “configurations”: [{“type”: “node” “request”: “launch” “name”: “debug production” “program”: “$ { workspaceFolder}\\ p",ja
info-needed:*english-please:translation-required-spanish:triage-needed,2024-05-02T18:01:56Z,"
Type: <b>Bug</b>

Tengo descargado la extensión de Español en VsCode pere aún asi no me dejan poner el programa en español.

",211863,not_planned,Cambio de lenguaje a Español,closed,"
Type: <b>Bug</b> I have downloaded the Spanish extension in VsCode but it still won&#39;t let me put the program in Spanish.

",es,"Changing the language to Spanish. Type: <b>Bug</b> I have downloaded the Spanish extension in VSCode but even so, they don't let me set the program to Spanish.",es,Language change to Spanish Type: <b>Bug</b>I have downloaded the Spanish extension in VsCode but it still won't let me put the program in Spanish.,ES,Change of language to Spanish Type: <b>Bug</b> I have downloaded the Spanish extension in VSCode but they still won't let me put the program in Spanish.,es
info-needed:*english-please:translation-required-portuguese-brazil,2024-05-02T18:01:46Z,"
Type: <b>Bug</b>

A aba de instalar extenções não esta carregando

",211862,not_planned,Problema nas extensões,closed,"
Type: <b>Bug</b> The install extensions tab is not loading

",pt,Problem with extensions. Type: <b>Bug</b>The tab to install extensions is not loading.,pt,Extensions problem Type: <b>Bug</b> The install extensions tab is not loading,PT,Problem with extensions Type: <b>Bug</b> The install extensions tab is not loading,pt
info-needed:*english-please:translation-required-spanish:triage-needed:stale,2024-05-01T12:53:39Z,"Type: <b>Bug</b>

He estado utilizando VSC últimamente y tengo un problema que he buscado por varios lados y aun no he encontrado su solución. Este problema es que, al clicar fuera de VSC, la barra de título donde se muestran los apartados ""File"", ""Terminal"", ""Help"", etc. o los símbolos para minimizar VSC o cerrarlo, se hacen del mismo color que el color de fondo de la barra de título.
¿Alguien sabe cómo arreglarlo?

",211781,completed,La barra de título desaparece.,closed,"Type: <b>Bug</b> I&#39;ve been using VSC lately and I have a problem that I&#39;ve searched for in several places and still haven&#39;t found a solution for. The problem is that when I click outside of VSC, the title bar where the &quot;File&quot;, &quot;Terminal&quot;, &quot;Help&quot;, etc. sections are displayed or the symbols to minimize or close VSC, become the same color as the background color of the title bar. Does anyone know how to fix this?

",es,"The title bar disappears. Type: <b>Bug</b> I've been using VSC lately and I have a problem that I've searched for in various places and still haven't found a solution. This problem is that when clicking outside VSC the title bar showing the sections 'File', 'Terminal', 'Help', etc., or the symbols to minimize VSC or close it become the same color as the background color of the title bar. Does anyone know how to fix it?",es,"The title bar disappears. Type: <b>Bug</b>I have been using VSC lately and I have a problem that I have searched several places and I have not found a solution yet. This problem is that when I click outside of VSC the title bar where the ""File"" ""Terminal"" ""Help"" etc. sections are displayed or the symbols to minimize VSC or close it become the same color as the background color of the title bar.Does anyone know how to fix it?",ES,The title bar disappears. Type: <b>Bug</b> I've been using VSC lately and I have a problem that I've looked for in several places and haven't found a solution yet. This problem is that when you click outside of VSC the title bar where the “File” “Terminal” “Help” etc. sections or the symbols to minimize VSC or close it are made the same color as the background color of the title bar. Does anyone know how to fix it?,es
